,driverid,season,location,constructorid,qualification_position,last_race_position,points,team_pitstop_time
0,albon,2024,Imola,williams,14,18,0,327.89900000000006
1,alonso,2024,Imola,aston_martin,19,9,33,619.8695
3,bottas,2024,Imola,sauber,16,16,0,621.2861666666665
4,gasly,2024,Imola,alpine,15,12,0,609.9053333333333
5,hamilton,2024,Imola,mercedes,8,6,27,589.9511666666668
6,hulkenberg,2024,Imola,haas,10,11,6,597.6563333333334
7,leclerc,2024,Imola,ferrari,4,3,98,578.0751666666666
8,kevin_magnussen,2024,Imola,haas,18,19,1,597.6563333333334
9,norris,2024,Imola,mclaren,3,1,83,589.0583333333333
10,ocon,2024,Imola,alpine,12,10,1,609.9053333333333
11,perez,2024,Imola,red_bull,11,4,103,585.2056666666666
12,piastri,2024,Imola,mclaren,2,13,41,589.0583333333333
13,ricciardo,2024,Imola,rb,9,15,5,325.9276666666667
14,russell,2024,Imola,mercedes,6,8,37,589.9511666666668
15,sainz,2024,Imola,ferrari,5,5,83,578.0751666666666
16,sargeant,2024,Imola,williams,20,20,0,327.89900000000006
17,stroll,2024,Imola,aston_martin,13,17,9,619.8695
18,tsunoda,2024,Imola,rb,7,7,14,325.9276666666667
19,max_verstappen,2024,Imola,red_bull,1,2,136,585.2056666666666
20,zhou,2024,Imola,sauber,17,14,0,621.2861666666665
